Namespace(exp_name='pointnet_200', model='pointnet', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=200, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 158, loss: 1.799427, train acc: 0.162897, train avg acc: 0.162897
Test 158, loss: 1.798494, test acc: 0.166667, test avg acc: 0.166667
Train 159, loss: 1.798719, train acc: 0.161905, train avg acc: 0.161905
Test 159, loss: 1.798670, test acc: 0.166667, test avg acc: 0.166667
Train 160, loss: 1.799399, train acc: 0.159921, train avg acc: 0.159921
Test 160, loss: 1.796320, test acc: 0.166667, test avg acc: 0.166667
Train 161, loss: 1.798994, train acc: 0.163889, train avg acc: 0.163889
Test 161, loss: 1.797430, test acc: 0.166667, test avg acc: 0.166667
Train 162, loss: 1.798824, train acc: 0.164385, train avg acc: 0.164385
Test 162, loss: 1.804250, test acc: 0.166667, test avg acc: 0.166667
Train 163, loss: 1.797654, train acc: 0.167262, train avg acc: 0.167262
Test 163, loss: 1.798703, test acc: 0.166667, test avg acc: 0.166667
Train 164, loss: 1.797999, train acc: 0.168948, train avg acc: 0.168948
Test 164, loss: 1.796240, test acc: 0.166667, test avg acc: 0.166667
Train 165, loss: 1.798003, train acc: 0.168254, train avg acc: 0.168254
Test 165, loss: 1.800310, test acc: 0.166667, test avg acc: 0.166667
Train 166, loss: 1.798393, train acc: 0.160714, train avg acc: 0.160714
Test 166, loss: 1.792257, test acc: 0.166667, test avg acc: 0.166667
Train 167, loss: 1.797125, train acc: 0.170833, train avg acc: 0.170833
Test 167, loss: 1.799809, test acc: 0.166667, test avg acc: 0.166667
Train 168, loss: 1.797488, train acc: 0.168056, train avg acc: 0.168056
Test 168, loss: 1.795709, test acc: 0.166667, test avg acc: 0.166667
Train 169, loss: 1.797003, train acc: 0.168849, train avg acc: 0.168849
Test 169, loss: 1.795158, test acc: 0.166667, test avg acc: 0.166667
Train 170, loss: 1.796803, train acc: 0.165278, train avg acc: 0.165278
Test 170, loss: 1.797720, test acc: 0.166667, test avg acc: 0.166667
Train 171, loss: 1.797392, train acc: 0.171528, train avg acc: 0.171528
Test 171, loss: 1.799492, test acc: 0.166667, test avg acc: 0.166667
Train 172, loss: 1.797470, train acc: 0.169544, train avg acc: 0.169544
Test 172, loss: 1.796629, test acc: 0.166667, test avg acc: 0.166667
Train 173, loss: 1.796940, train acc: 0.163591, train avg acc: 0.163591
Test 173, loss: 1.803934, test acc: 0.166667, test avg acc: 0.166667
Train 174, loss: 1.797197, train acc: 0.169544, train avg acc: 0.169544
Test 174, loss: 1.794019, test acc: 0.166667, test avg acc: 0.166667
Train 175, loss: 1.796729, train acc: 0.162599, train avg acc: 0.162599
Test 175, loss: 1.794221, test acc: 0.166667, test avg acc: 0.166667
Train 176, loss: 1.796836, train acc: 0.163393, train avg acc: 0.163393
Test 176, loss: 1.796999, test acc: 0.166667, test avg acc: 0.166667
Train 177, loss: 1.797210, train acc: 0.162103, train avg acc: 0.162103
Test 177, loss: 1.794763, test acc: 0.166667, test avg acc: 0.166667
Train 178, loss: 1.796738, train acc: 0.162698, train avg acc: 0.162698
Test 178, loss: 1.796536, test acc: 0.166667, test avg acc: 0.166667
Train 179, loss: 1.796273, train acc: 0.165179, train avg acc: 0.165179
Test 179, loss: 1.797674, test acc: 0.166667, test avg acc: 0.166667
Train 180, loss: 1.796346, train acc: 0.161607, train avg acc: 0.161607
Test 180, loss: 1.795304, test acc: 0.166667, test avg acc: 0.166667
Train 181, loss: 1.796476, train acc: 0.165774, train avg acc: 0.165774
Test 181, loss: 1.800406, test acc: 0.166667, test avg acc: 0.166667
